IP	hostname
10.42.239.81	lxpdir21
10.42.239.82	lxpdir22
10.42.239.83	lxpdir23
10.42.239.84	lxprep21
10.42.239.85	lxprep22
"10.42.239.86
"	"lxprep23
"
10.42.239.142	lxpew21
10.42.239.143	lxpew22
"10.42.239.144


"	"lxpew23


"
10.42.239.145	lxpew24
10.42.239.158	lxpmal21
10.42.239.159	lxpmal22
10.42.239.160	lxpmal23
10.42.239.210	lxppxy21
"10.42.239.211
172.17.0.1
172.18.0.1"	"lxpntp21

"
"10.42.239.212
172.17.0.1
172.18.0.1"	"lxpntp22

"
10.42.239.213	mspep21
